Scenario,PID_SS_mm,ADRC_SS_mm,PID_full_mm,ADRC_full_mm,PID_peak_mm,ADRC_peak_mm,PID_tau_max,ADRC_tau_max,ADRC_improvement_pct
s01_line_baseline,6.645,6.622,4.864,4.853,10.970,10.754,0.500,0.105,0.34
s02_circle_R05,6.394,6.377,5.734,5.719,8.618,8.630,0.454,0.090,0.27
s03_circle_R10,19.183,19.063,17.766,17.655,25.375,25.265,0.454,0.090,0.63
s04_circle_R20,71.592,71.353,68.784,68.554,99.038,98.706,0.454,0.090,0.33
s05_square,20.880,18.293,18.104,15.868,69.456,64.208,0.500,0.500,12.39
s06_rounded_square,5.279,5.301,4.635,4.653,10.961,10.746,0.500,0.483,-0.43
s07_figure8,9.228,9.734,8.055,8.541,15.359,16.150,0.500,0.223,-5.48
s08_zigzag,24.361,24.274,21.202,21.118,47.861,47.577,0.500,0.500,0.36
s09_sinusoidal,23.081,24.715,21.416,22.864,42.681,43.727,0.500,0.238,-7.08
s10_racetrack,16.251,16.308,14.852,14.905,29.681,29.796,0.500,0.223,-0.35
s11_wheel_jam,17.698,17.575,16.167,16.051,25.230,25.123,0.536,0.292,0.70
s12_encoder_dropout,232.156,235.645,217.051,219.814,311.174,279.069,0.500,0.500,-1.50
s13_battery_fade,9.518,9.734,8.296,8.541,17.727,16.150,0.500,0.223,-2.27
s14_industrial_nightmare,43.047,10.374,39.884,9.033,75.976,14.901,0.500,0.184,75.90
s15_oily_floor,430.616,415.711,391.585,378.034,1091.143,1145.541,0.500,0.500,3.46
